INDICE;LATITUDE;LONGITUDE;CODIGO_ROTA;SEQUENCIA;LOGRADOURO;NUMERO
401928214.0;-22.817351;-43.319162;72_201;135.0;PROF FRANCA AMARAL;226
401792310.0;-22.815179;-43.320861;72_201;282.0;PROF FRANCA AMARAL;553
400336398.0;-22.807757;-43.321751;72_210;31.0;FRANZ LISZT;416
400051810.0;-22.816883;-43.317155;72_214;93.0;MAL ANTONIO SOUZA;182
400158142.0;-22.809026;-43.319057;72_212;191.0;QUINCAS LARANJEIRAS;4
400157594.0;-22.814297;-43.317571;72_214;309.0;LOURIVAL INACIO;142
400157467.0;-22.810678;-43.318651;72_212;132.0;LOURIVAL INACIO;9
400120708.0;-22.803525;-43.325235;72_207;150.0;FLAVIO DA SILVEIRA;132
400157552.0;-22.812543;-43.317973;72_212;19.0;LOURIVAL INACIO;94
400401682.0;-22.816844;-43.317473;72_214;48.0;MAL ANTONIO SOUZA;173
400338182.0;-22.810211;-43.324167;72_202;393.0;MIN ARTUR COSTA;432
400096192.0;-22.813574;-43.32504;72_202;146.0;CARI LEVI;504
400381582.0;-22.804031;-43.326121;72_207;137.0;MAL JOSE PESSOA;115
400479019.0;-22.805222;-43.324204;72_209;38.0;SEBASTIAN BACH;122
400098191.0;-22.803605;-43.325629;72_207;147.0;FLAVIO DA SILVEIRA;92
400329692.0;-22.807509;-43.322024;72_210;38.0;DEBUSSY;371
400336388.0;-22.806113;-43.321931;72_210;58.0;FRANZ LISZT;241
400373464.0;-22.803405;-43.3248;72_207;154.0;FLAVIO DA SILVEIRA;182
401595518.0;-22.808909;-43.326279;72_206;90.0;PADRE PERONEILLE;691
400157187.0;-22.811464;-43.317919;72_212;346.0;ANTONIO LOPES;79
400378413.0;-22.811611;-43.320731;72_213;129.0;JORN GERALDO ROCHA;590
400389298.0;-22.813744;-43.319573;72_213;491.0;GAL MAGALHAES BARATA;495
400428708.0;-22.81112;-43.325152;72_205;374.0;MONS CASTELO BRANCO;566
402169797.0;-22.806534;-43.32495;72_208;303.0;MIN ARTUR COSTA;825
401732192.0;-22.810987;-43.319123;72_213;159.0;JORN GERALDO ROCHA;760
401711242.0;-22.807306;-43.320971;72_210;391.0;DEBUSSY;287
400157220.0;-22.813378;-43.317512;72_214;365.0;ANTONIO LOPES;112
400157466.0;-22.8091;-43.318775;61_0;0.0;LOURIVAL INACIO;8
400126808.0;-22.811665;-43.317851;72_212;468.0;ANTONIO LOPES;83
400159855.0;-22.803512;-43.32514;72_207;151.0;FLAVIO DA SILVEIRA;142
400101352.0;-22.812062;-43.322301;72_202;6.0;JORN GERALDO ROCHA;327
400157153.0;-22.810232;-43.3182;72_212;369.0;ANTONIO LOPES;45
400255708.0;-22.814279;-43.323412;72_201;96.0;JORN GERALDO ROCHA;146
400355209.0;-22.814414;-43.32139;72_201;380.0;JORGE LACERDA;21
400342127.0;-22.816424;-43.321361;72_201;128.0;GAL CORREA E CASTRO;185
400037166.0;-22.803782;-43.322847;72_209;111.0;MAL JOSE PESSOA;270
400390451.0;-22.811122;-43.319563;72_213;153.0;JORN GERALDO ROCHA;720
400089513.0;-22.811885;-43.321352;72_213;112.0;JORN GERALDO ROCHA;544
400461765.0;-22.806068;-43.324719;72_208;51.0;MIN ARTUR COSTA;840
400158277.0;-22.814274;-43.317785;72_213;392.0;QUINCAS LARANJEIRAS;139
400381998.0;-22.803579;-43.326537;72_207;219.0;FLAVIO DA SILVEIRA;35
401596191.0;-22.814091;-43.320344;72_213;1.0;CRISTIANO MACHADO;591
400049385.0;-22.811425;-43.320286;72_213;138.0;JORN GERALDO ROCHA;646
400419240.0;-22.811204;-43.319759;72_213;148.0;JORN GERALDO ROCHA;700
400383837.0;-22.80563;-43.322553;72_210;223.0;ATILIO VIVAQUA;220
400336402.0;-22.808763;-43.321638;72_210;105.0;FRANZ LISZT;496
401860521.0;-22.810503;-43.323984;72_202;352.0;RICHARD STRAUSS;51
400125183.0;-22.804455;-43.325007;72_207;52.0;CONSTANTINO MENELAU;28
401537825.0;-22.809062;-43.320463;72_210;161.0;GEORGES BIZET;221
400158156.0;-22.809466;-43.31895;72_212;199.0;QUINCAS LARANJEIRAS;18
400085516.0;-22.814573;-43.322285;72_202;0.0;PLINIO BARRETO;91
400158181.0;-22.810259;-43.318726;72_212;142.0;QUINCAS LARANJEIRAS;43
400508411.0;-22.812609;-43.327981;72_203;348.0;JOAO DE PAULA FONSECA;211
400158274.0;-22.814036;-43.317899;72_213;377.0;QUINCAS LARANJEIRAS;136
400376574.0;-22.814351;-43.317506;72_214;266.0;LOURIVAL INACIO;141
400096271.0;-22.812386;-43.322504;72_202;7.0;JORN GERALDO ROCHA;325
400291890.0;-22.814298;-43.32018;72_214;412.0;CRISTIANO MACHADO;571
400157221.0;-22.813369;-43.317467;72_214;364.0;VERTENTES;113
400157152.0;-22.810155;-43.318257;72_212;281.0;ANTONIO LOPES;44
400157243.0;-22.813986;-43.317325;72_214;343.0;VERTENTES;133
400100100.0;-22.814082;-43.324344;72_202;178.0;CARI LEVI;423
400157542.0;-22.811719;-43.318164;72_212;48.0;LOURIVAL INACIO;84
400276924.0;-22.809703;-43.322549;72_211;31.0;MOZART;582
400338183.0;-22.809236;-43.323991;72_208;403.0;MIN ARTUR COSTA;502
401732572.0;-22.806267;-43.328748;72_206;150.0;RODOLFO CHAMBELLAND;620
400104267.0;-22.81053;-43.319179;72_211;314.0;MAL ANTONIO SOUZA;665
400157238.0;-22.813875;-43.317398;72_214;347.0;ANTONIO LOPES;128
401235538.0;-22.813035;-43.317088;72_214;379.0;CORREA DIAS;1401
401872341.0;-22.810647;-43.32571;72_205;415.0;VIANA DO CASTELO;0
400157469.0;-22.809214;-43.318696;72_212;235.0;LOURIVAL INACIO;11
400473958.0;-22.810881;-43.325587;72_205;362.0;MONS CASTELO BRANCO;526
400158228.0;-22.81241;-43.318271;72_213;425.0;QUINCAS LARANJEIRAS;90
400355210.0;-22.814414;-43.32139;72_201;381.0;JORGE LACERDA;21
400157188.0;-22.811516;-43.317951;72_212;318.0;ANTONIO LOPES;80
400158249.0;-22.813381;-43.317989;72_213;408.0;QUINCAS LARANJEIRAS;111
400344822.0;-22.805372;-43.321032;72_210;353.0;CHARLES GOUNOD;192
400092244.0;-22.810352;-43.318484;72_212;209.0;LOURIVAL INACIO;48
400156277.0;-22.813267;-43.320904;72_213;251.0;CRISTIANO MACHADO;691
400350639.0;-22.814157;-43.323039;72_201;104.0;PLINIO BARRETO;181
400158260.0;-22.813603;-43.317999;72_213;370.0;QUINCAS LARANJEIRAS;122
400086751.0;-22.812681;-43.326823;72_203;159.0;ANTONIO DA SILVA;0
400322858.0;-22.812047;-43.320533;72_213;87.0;CONS MEIRELLES;178
400105692.0;-22.803762;-43.324893;72_207;123.0;MAL JOSE PESSOA;245
400089469.0;-22.813917;-43.319391;72_213;355.0;GAL MAGALHAES BARATA;390
400157127.0;-22.809442;-43.318379;72_212;383.0;ANTONIO LOPES;19
400498669.0;-22.808111;-43.324528;72_208;391.0;OTAVIO MANGABEIRA;65
400157148.0;-22.810042;-43.318283;72_212;278.0;ANTONIO LOPES;40
400390452.0;-22.811122;-43.319563;72_213;154.0;JORN GERALDO ROCHA;720
400333204.0;-22.803947;-43.325435;72_207;130.0;MAL JOSE PESSOA;185
400155746.0;-22.81788;-43.317506;72_214;29.0;CRISTIANO MACHADO;92
400144874.0;-22.804116;-43.321915;72_209;169.0;ANTONIO DE ALBUQUERQUE;797
400397984.0;-22.812018;-43.323367;72_202;315.0;FREDERIC CHOPIN;152
400380447.0;-22.80488;-43.325715;72_207;25.0;MIN ARTUR COSTA;1132
400157474.0;-22.809348;-43.318718;72_212;247.0;LOURIVAL INACIO;16
400339353.0;-22.804782;-43.32672;72_207;377.0;OTAVIO MANGABEIRA;484
401875416.0;-22.815604;-43.320377;72_201;269.0;PROF FRANCA AMARAL;476
400411547.0;-22.814862;-43.321355;72_201;334.0;GAL MAGALHAES BARATA;203
400113903.0;-22.806213;-43.325873;72_207;407.0;OTAVIO MANGABEIRA;331
400379509.0;-22.803324;-43.325128;72_207;197.0;FLAVIO DA SILVEIRA;153
400086733.0;-22.811055;-43.328423;72_203;221.0;GAL OSCILIO MAIA;0
400159485.0;-22.809363;-43.328825;72_204;348.0;PROF COSTA RIBEIRO;193
400112842.0;-22.809491;-43.328711;72_204;368.0;PROF COSTA RIBEIRO;320
400158207.0;-22.811314;-43.318472;72_212;104.0;QUINCAS LARANJEIRAS;69
400157585.0;-22.813984;-43.317643;61_0;0.0;LOURIVAL INACIO;132
400158509.0;-22.806591;-43.327048;72_206;182.0;PROF COSTA RIBEIRO;655
401352689.0;-22.811771;-43.328119;72_203;329.0;PADRE PERONEILLE;131
400158170.0;-22.809896;-43.318845;72_212;156.0;QUINCAS LARANJEIRAS;32
400152998.0;-22.812368;-43.321557;72_213;175.0;CRISTIANO MACHADO;811
400483485.0;-22.809863;-43.320462;72_211;278.0;ANTONIO DE ALBUQUERQUE;142
400360962.0;-22.810818;-43.329862;72_203;417.0;PROF COSTA RIBEIRO;45
401743055.0;-22.804207;-43.325742;604_3;40.0;MAL JOSE PESSOA;290
400098105.0;-22.808286;-43.323384;72_208;428.0;SEBASTIAN BACH;421
400157520.0;-22.804475;-43.326714;72_212;69.0;LOURIVAL INACIO;62
400276962.0;-22.802596;-43.324629;72_207;109.0;TALES DE CARVALHO;151
401732570.0;-22.811007;-43.330249;72_203;423.0;RODOLFO CHAMBELLAND;10
400383838.0;-22.80563;-43.322553;72_210;224.0;ATILIO VIVAQUA;220
400210462.0;-22.80669;-43.326651;72_206;310.0;PINTOR MARQUES JUNIOR;239
400090735.0;-22.804806;-43.323063;72_209;74.0;ROBERT SCHUMANN;106
401299481.0;-22.804856;-43.328055;72_206;255.0;RODOLFO CHAMBELLAND;742
400399775.0;-22.809948;-43.319954;72_211;354.0;CHARLES GOUNOD;652
400394154.0;-22.808414;-43.324315;72_208;395.0;OTAVIO MANGABEIRA;25
400116834.0;-22.804985;-43.324882;72_207;62.0;CONSTANTINO MENELAU;88
401840642.0;-22.803791;-43.320765;72_209;272.0;MAL ANTONIO SOUZA;1683
400382545.0;-22.805754;-43.324701;72_207;83.0;CONSTANTINO MENELAU;168
400157464.0;-22.809042;-43.318789;72_212;242.0;LOURIVAL INACIO;6
400376666.0;-22.815191;-43.321371;72_201;321.0;GAL MAGALHAES BARATA;206
401928213.0;-22.817351;-43.319162;72_201;134.0;PROF FRANCA AMARAL;226
400397648.0;-22.810354;-43.318004;72_212;286.0;GREGORIO DE MATOS;527
400255721.0;-22.812481;-43.32275;72_202;13.0;JORN GERALDO ROCHA;305
400433060.0;-22.806631;-43.321326;72_210;256.0;ANTONIO DE ALBUQUERQUE;511
400108894.0;-22.812194;-43.320882;72_213;91.0;CONS MEIRELLES;218
401750871.0;-22.8034;-43.320945;72_209;265.0;MAL JOSE PESSOA;470
400394152.0;-22.812523;-43.326003;72_203;284.0;GAL OSCILIO MAIA;552
401235539.0;-22.813035;-43.317088;72_214;380.0;CORREA DIAS;1401
400336397.0;-22.807757;-43.321889;72_210;86.0;FRANZ LISZT;416
